Date,Revenue,Orders,Units
2011-06-29,12569.78,39,7468
2011-06-30,41709.24,65,20495
2011-07-01,12146.44,42,7433
2011-07-03,5972.73,25,3091
2011-07-04,30941.37,37,12056
2011-07-05,25988.51,64,17631
2011-07-06,22934.22,66,17805
2011-07-07,27860.38,73,17638
2011-07-08,17538.5,46,10153
2011-07-10,5959.54,24,4204
2011-07-11,20008.829999999998,48,14097
2011-07-12,17938.49,45,11537
2011-07-13,19411.52,56,15251
2011-07-14,31979.04,69,17049
2011-07-15,11814.7,37,6359
2011-07-17,16926.15,50,10809
2011-07-18,22001.63,46,12701
2011-07-19,46583.01,62,28400
2011-07-20,27021.06,53,15341
2011-07-21,30271.94,70,19533
2011-07-22,14628.88,37,8325
2011-07-24,26777.92,57,17569
2011-07-25,19676.55,53,14271
2011-07-26,17284.3,46,12637
2011-07-27,22846.13,44,13224
2011-07-28,54171.95,78,29683
2011-07-29,17166.75,62,11165
2011-07-31,33112.36,41,19398
2011-08-01,19778.12,39,11256
2011-08-02,20272.0,41,14223
2011-08-03,26572.829999999998,62,16125
2011-08-04,62074.19,79,40092
2011-08-05,19703.95,52,12162
2011-08-07,7541.91,29,5174
2011-08-08,19743.98,38,12430
2011-08-09,25949.92,40,15821
2011-08-10,19853.41,43,12326
2011-08-11,54325.27,64,36444
2011-08-12,17970.17,46,11049
2011-08-14,5701.87,25,3172
2011-08-15,17235.95,48,10173
2011-08-16,16072.71,50,10461
2011-08-17,48554.44,51,24794
2011-08-18,54034.98,67,34016
2011-08-19,17326.07,55,10663
2011-08-21,14410.25,38,8075
2011-08-22,29617.26,63,15527
2011-08-23,22384.02,60,13698
2011-08-24,38371.37,72,27328
2011-08-25,22441.26,72,13151
2011-08-26,24095.49,44,16763
2011-08-28,10686.56,37,6701
2011-08-30,8805.17,23,4207
2011-08-31,20527.89,42,11542
2011-09-01,37358.62,76,27850
2011-09-02,30203.86,64,15375
2011-09-04,16930.43,49,10863
2011-09-05,35439.909999999996,67,22266
2011-09-06,25466.97,61,14451
2011-09-07,21967.42,46,13731
2011-09-08,23048.38,72,15979
2011-09-09,25082.86,58,15989
2011-09-11,35206.92,75,20906
2011-09-12,27777.36,67,16323
2011-09-13,48116.5,63,35000
2011-09-14,22013.75,65,13433
2011-09-15,71926.69,79,27638
2011-09-16,23245.03,46,14125
2011-09-18,15639.55,27,8937
2011-09-19,46588.21,69,29241
2011-09-20,103377.68,67,42599
2011-09-21,38472.1,67,19615
2011-09-22,57734.979999999996,111,32749
2011-09-23,31753.75,58,19786
2011-09-25,31164.78,75,19424
2011-09-26,29265.51,65,15238
2011-09-27,29212.32,75,19505
2011-09-28,39001.909999999996,80,24026
2011-09-29,44671.27,103,26957
2011-09-30,40023.44,70,21646
2011-10-02,11479.98,34,8322
2011-10-03,62143.07,65,24553
2011-10-04,38532.09,74,23016
2011-10-05,73975.57,94,45854
2011-10-06,60258.53,116,34513
2011-10-07,49089.47,85,29636
2011-10-09,12215.51,38,7263
2011-10-10,42962.8,90,24990
2011-10-11,46401.14,78,26633
2011-10-12,27655.2,82,16151
2011-10-13,32850.25,74,17813
2011-10-14,32071.62,70,17189
2011-10-16,21767.94,35,8649
2011-10-17,46868.65,85,30056
2011-10-18,37248.159999999996,77,26865
2011-10-19,37227.88,77,18185
2011-10-20,60910.3,86,40833
2011-10-21,60364.01,62,24211
2011-10-23,12156.57,42,6953
2011-10-24,38897.89,73,23661
2011-10-25,36113.86,72,25608
2011-10-26,34105.36,92,20101
2011-10-27,55747.2,104,32418
2011-10-28,37194.58,65,22966
2011-10-30,34397.95,96,19943
2011-10-31,33006.87,63,15161
2011-11-01,29069.56,76,16530
2011-11-02,38536.44,83,26592
2011-11-03,60536.09,100,33435
2011-11-04,55716.47,87,33416
2011-11-06,42508.59,101,23085
2011-11-07,28602.73,90,16358
2011-11-08,38151.91,99,21582
2011-11-09,61241.58,118,36888
2011-11-10,70373.03,125,37955
2011-11-11,36932.07,93,23844
2011-11-13,28416.01,83,19610
2011-11-14,58595.22,104,32050
2011-11-15,47535.51,104,26773
2011-11-16,48154.12,124,29010
2011-11-17,55683.49,136,30235
2011-11-18,36606.25,103,20224
2011-11-20,29642.39,98,18457
2011-11-21,45202.01,96,24494
2011-11-22,49438.55,130,31596
2011-11-23,71722.75,130,38287
2011-11-24,38359.69,109,22812
2011-11-25,26542.33,73,14142
2011-11-27,16969.25,56,10307
2011-11-28,51632.21,114,27932
2011-11-29,48640.57,126,25886
2011-11-30,41396.79,99,24423
2011-12-01,44405.37,118,24810
2011-12-02,44526.1,114,25524
2011-12-04,20232.0,62,11321
2011-12-05,58081.09,116,38347
2011-12-06,45989.659999999996,110,27736
2011-12-07,69230.6,104,41011
2011-12-08,50395.96,113,27476
2011-12-09,184347.66,41,90553
