CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,KMeans_Cluster,DBSCAN_Cluster,Agglomerative_Cluster,GMM_Cluster,Final_Segment
17638,647,2,842.4,1,3,3,133,At Risk,1,0,3,2,At-Risk Churn
14264,155,6,1517.36,3,4,4,344,Loyal Customers,1,0,3,0,At-Risk Churn
13096,394,1,419.7,2,1,2,212,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15807,50,5,1817.52,4,4,4,444,Champions,2,0,2,0,Loyal Customers
15797,113,6,2821.08,3,4,4,344,Loyal Customers,2,0,2,0,Loyal Customers
18059,23,3,306.46,4,3,2,432,Loyal Customers,3,0,1,4,New Active
13707,267,5,3365.86,2,4,5,245,At Risk,1,0,2,2,At-Risk Churn
13521,1,3,1071.73,5,3,3,533,Loyal Customers,3,0,2,4,New Active
16040,65,7,2416.9,3,4,4,344,Loyal Customers,2,0,2,0,Loyal Customers
15131,395,1,80.28,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
16781,372,2,623.0,2,2,3,223,Lost / Inactive,1,0,3,2,At-Risk Churn
17898,85,4,299.18,3,4,2,342,Loyal Customers,3,0,1,4,New Active
12643,128,12,8304.82,3,5,5,355,Loyal Customers,2,0,0,0,Loyal Customers
16618,31,5,2647.59,4,4,4,444,Champions,2,0,2,0,Loyal Customers
17833,723,1,338.46,1,2,2,122,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14144,486,1,30.6,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14742,435,1,579.85,1,1,2,112,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14155,266,1,118.75,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
17601,239,2,413.08,2,3,2,232,At Risk,4,0,1,2,Hibernating Low-Value
18049,437,2,500.92,1,3,2,132,At Risk,4,0,3,2,Hibernating Low-Value
14895,8,38,25119.54,5,5,5,555,Champions,0,0,0,3,VIP Champions
18179,9,8,2547.55,5,5,4,554,Champions,2,0,0,0,Loyal Customers
16053,33,6,3634.84,4,4,5,445,Champions,2,0,2,0,Loyal Customers
12882,9,2,1463.04,5,2,4,524,Promising / New,3,0,2,4,New Active
15560,398,2,153.52,2,2,1,221,Lost / Inactive,4,0,4,2,Hibernating Low-Value
15501,405,2,399.95,2,2,2,222,Lost / Inactive,4,0,3,2,Hibernating Low-Value
13570,243,1,239.49,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14556,596,3,815.69,1,3,3,133,At Risk,1,0,3,2,At-Risk Churn
17105,159,2,665.78,3,3,3,333,Loyal Customers,1,0,3,4,At-Risk Churn
16332,28,11,2000.01,4,5,4,454,Champions,2,0,0,0,Loyal Customers
12975,437,6,2100.09,1,4,4,144,At Risk,1,0,3,2,At-Risk Churn
14979,735,1,429.66,1,1,2,112,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14830,53,1,188.88,4,1,1,411,Promising / New,3,1,1,1,New Active
14102,5,5,1105.88,5,4,3,543,Champions,3,0,2,0,New Active
17283,379,1,188.46,2,2,1,221,Lost / Inactive,4,1,4,1,Hibernating Low-Value
16178,138,2,612.6,3,2,3,323,Needs Attention,1,0,1,4,At-Risk Churn
12610,23,5,2099.54,4,4,4,444,Champions,2,0,2,0,Loyal Customers
12504,18,4,779.05,5,3,3,533,Loyal Customers,3,0,2,4,New Active
14582,41,1,114.11,4,1,1,411,Promising / New,3,1,1,1,New Active
16969,39,3,650.41,4,3,3,433,Loyal Customers,3,0,2,4,New Active
16901,729,1,204.26,1,2,1,121,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13313,22,12,3445.32,4,5,5,455,Champions,2,0,0,0,Loyal Customers
17952,378,4,788.46,2,4,3,243,At Risk,1,0,3,2,At-Risk Churn
12448,44,1,449.45,4,1,2,412,Promising / New,3,1,1,1,New Active
13686,183,3,409.04,3,3,2,332,Loyal Customers,1,0,1,4,At-Risk Churn
16896,555,1,103.95,1,2,1,121,Lost / Inactive,4,1,4,1,Hibernating Low-Value
16327,14,16,10159.64,5,5,5,555,Champions,0,0,0,0,VIP Champions
15023,3,20,11578.65,5,5,5,555,Champions,0,0,0,0,VIP Champions
13260,61,1,557.62,3,1,2,312,Needs Attention,3,1,1,1,New Active
15092,215,3,776.46,2,3,3,233,At Risk,1,0,3,2,At-Risk Churn
16955,185,6,1120.31,3,4,3,343,Loyal Customers,1,0,3,0,At-Risk Churn
13395,185,3,1180.23,3,3,3,333,Loyal Customers,1,0,3,4,At-Risk Churn
14012,278,1,328.8,2,1,2,212,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13849,52,5,3469.3,4,4,5,445,Champions,2,0,2,0,Loyal Customers
13462,253,5,1153.85,2,4,3,243,At Risk,1,0,3,2,At-Risk Churn
15421,59,10,3805.34,4,5,5,455,Champions,2,0,0,0,Loyal Customers
17965,38,29,7006.65,4,5,5,455,Champions,0,0,0,0,VIP Champions
12524,9,17,11126.11,5,5,5,555,Champions,0,0,0,0,VIP Champions
15837,65,2,777.01,3,2,3,323,Needs Attention,3,0,2,4,New Active
15574,178,6,1101.44,3,4,3,343,Loyal Customers,1,0,3,0,At-Risk Churn
16197,469,9,2016.71,1,5,4,154,At Risk,1,0,3,0,At-Risk Churn
13456,18,6,1766.72,5,4,4,544,Champions,2,0,2,0,Loyal Customers
18002,376,4,244.37,2,4,1,241,At Risk,4,0,3,2,Hibernating Low-Value
18256,388,1,110.7,2,2,1,221,Lost / Inactive,4,1,4,1,Hibernating Low-Value
17094,322,2,402.2,2,3,2,232,At Risk,4,0,3,2,Hibernating Low-Value
14667,11,54,20395.34,5,5,5,555,Champions,0,0,0,3,VIP Champions
15234,277,1,197.0,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13643,31,10,2156.77,4,5,4,454,Champions,2,0,2,0,Loyal Customers
12503,584,1,1126.0,1,1,3,113,Lost / Inactive,1,1,4,1,At-Risk Churn
16987,3,11,2521.4,5,5,4,554,Champions,2,0,2,0,Loyal Customers
12774,536,1,98.7,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
17886,32,6,1572.55,4,4,4,444,Champions,2,0,2,0,Loyal Customers
14322,429,4,474.1,1,3,2,132,At Risk,1,0,3,2,At-Risk Churn
14758,145,7,2864.97,3,4,4,344,Loyal Customers,2,0,2,0,Loyal Customers
16593,51,8,1071.14,4,5,3,453,Champions,2,0,2,0,Loyal Customers
17086,7,6,2050.08,5,4,4,544,Champions,2,0,2,0,Loyal Customers
15413,692,5,6798.72,1,4,5,145,At Risk,1,-1,0,3,At-Risk Churn
17254,5,3,469.48,5,3,2,532,Loyal Customers,3,0,1,4,New Active
16211,89,3,1090.59,3,3,3,333,Loyal Customers,1,0,2,4,At-Risk Churn
12878,236,2,854.99,2,2,3,223,Lost / Inactive,1,0,3,2,At-Risk Churn
16229,87,6,2867.86,3,4,4,344,Loyal Customers,2,0,2,0,Loyal Customers
16404,70,1,443.05,3,1,2,312,Needs Attention,3,1,1,1,New Active
17473,409,2,607.0,2,3,2,232,At Risk,1,0,3,2,At-Risk Churn
13884,7,10,1825.03,5,5,4,554,Champions,2,0,2,0,Loyal Customers
16183,67,4,1077.81,3,4,3,343,Loyal Customers,1,0,2,0,At-Risk Churn
16767,31,15,8056.76,4,5,5,455,Champions,2,0,0,0,Loyal Customers
12479,11,1,527.2,5,1,2,512,Promising / New,3,1,1,1,New Active
18225,3,26,13014.8,5,5,5,555,Champions,0,0,0,0,VIP Champions
12749,4,9,6897.36,5,5,5,555,Champions,2,0,0,0,Loyal Customers
12514,267,2,1597.76,2,2,4,224,Lost / Inactive,1,0,3,2,At-Risk Churn
13868,7,2,3192.54,5,2,5,525,Promising / New,3,0,2,4,New Active
15834,70,7,3764.39,3,4,5,345,Loyal Customers,2,0,0,0,Loyal Customers
16339,284,1,94.05,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13907,692,1,136.8,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13865,58,4,501.56,4,3,2,432,Loyal Customers,3,0,1,4,New Active
13988,20,8,4757.8,4,4,5,445,Champions,2,0,0,0,Loyal Customers
16540,414,1,205.75,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14681,71,6,875.15,3,4,3,343,Loyal Customers,1,0,2,0,At-Risk Churn
13873,120,8,1038.92,3,4,3,343,Loyal Customers,1,0,3,0,At-Risk Churn
13927,75,2,708.26,3,2,3,323,Needs Attention,3,0,1,4,New Active
15261,135,4,1508.0,3,3,4,334,Loyal Customers,1,0,2,0,At-Risk Churn
18183,227,2,632.07,2,3,3,233,At Risk,1,0,3,2,At-Risk Churn
13693,374,9,2011.82,2,5,4,254,At Risk,1,0,3,0,At-Risk Churn
12586,17,4,2062.67,5,3,4,534,Loyal Customers,2,0,2,4,Loyal Customers
13330,93,6,2796.1,3,4,4,344,Loyal Customers,2,0,2,0,Loyal Customers
13997,519,3,376.46,1,3,2,132,At Risk,4,0,3,2,Hibernating Low-Value
13974,49,2,677.72,4,2,3,423,Promising / New,3,0,1,4,New Active
14332,23,5,1917.41,4,4,4,444,Champions,2,0,2,0,Loyal Customers
13797,437,3,1179.45,1,3,3,133,At Risk,1,0,3,2,At-Risk Churn
16852,10,2,144.91,5,3,1,531,Loyal Customers,3,0,1,4,New Active
13305,4,16,3616.41,5,5,5,555,Champions,0,0,0,0,VIP Champions
14027,61,1,104.82,3,1,1,311,Needs Attention,4,1,1,1,Hibernating Low-Value
12515,353,1,383.7,2,1,2,212,Lost / Inactive,4,1,4,1,Hibernating Low-Value
18272,3,9,4385.98,5,5,5,555,Champions,2,0,2,0,Loyal Customers
16242,8,14,7404.65,5,5,5,555,Champions,0,0,0,0,VIP Champions
15005,16,56,13754.58,5,5,5,555,Champions,0,0,0,3,VIP Champions
14319,424,1,494.85,1,1,2,112,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14034,22,3,648.89,4,3,3,433,Loyal Customers,3,0,2,4,New Active
18168,176,16,3435.5,3,5,5,355,Loyal Customers,2,0,0,0,Loyal Customers
13629,23,19,13370.86,4,5,5,455,Champions,0,0,0,0,VIP Champions
17902,547,1,216.4,1,2,1,121,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14646,2,151,528602.52,5,5,5,555,Champions,0,-1,0,3,VIP Champions
12427,22,3,825.8,4,3,3,433,Loyal Customers,3,0,2,4,New Active
12693,127,7,1703.02,3,4,4,344,Loyal Customers,1,0,3,0,At-Risk Churn
14109,73,1,144.2,3,1,1,311,Needs Attention,4,1,1,1,Hibernating Low-Value
14671,549,2,1127.45,1,2,3,123,Lost / Inactive,1,0,3,2,At-Risk Churn
17537,30,2,887.67,4,3,3,433,Loyal Customers,3,0,2,4,New Active
17385,15,1,256.11,5,2,1,521,Promising / New,3,1,1,1,New Active
13399,464,3,275.4,1,3,1,131,At Risk,4,0,3,2,Hibernating Low-Value
12741,529,2,406.07,1,2,2,122,Lost / Inactive,4,0,3,2,Hibernating Low-Value
17478,408,2,1272.8,2,3,4,234,At Risk,1,0,3,2,At-Risk Churn
15973,367,3,680.62,2,3,3,233,At Risk,1,0,3,2,At-Risk Churn
14022,225,2,792.15,2,2,3,223,Lost / Inactive,1,0,3,2,At-Risk Churn
12925,5,3,729.33,5,3,3,533,Loyal Customers,3,0,2,4,New Active
15576,38,1,921.37,4,1,3,413,Promising / New,3,1,2,1,New Active
16542,54,2,257.32,4,2,1,421,Promising / New,3,0,1,4,New Active
18046,650,1,189.63,1,2,1,121,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13915,394,1,70.8,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
16634,223,6,1649.81,2,4,4,244,At Risk,1,0,3,0,At-Risk Churn
16774,68,8,1567.48,3,5,4,354,Loyal Customers,2,0,2,0,Loyal Customers
15585,177,1,455.3,3,1,2,312,Needs Attention,4,1,4,1,Hibernating Low-Value
16937,499,1,196.25,1,2,1,121,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14279,521,2,191.86,1,2,1,121,Lost / Inactive,4,0,4,2,Hibernating Low-Value
14312,47,11,3090.29,4,5,5,455,Champions,2,0,0,0,Loyal Customers
13285,23,6,3364.59,4,4,5,445,Champions,2,0,2,0,Loyal Customers
12935,2,15,4243.86,5,5,5,555,Champions,0,0,2,0,VIP Champions
16552,243,2,379.73,2,2,2,222,Lost / Inactive,4,0,1,2,Hibernating Low-Value
12655,424,1,261.35,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
18279,519,1,231.34,1,2,1,121,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13897,50,3,1160.72,4,3,3,433,Loyal Customers,3,0,2,4,New Active
13537,426,2,717.85,1,2,3,123,Lost / Inactive,1,0,3,2,At-Risk Churn
13162,122,16,9275.49,3,5,5,355,Loyal Customers,2,0,0,0,Loyal Customers
13771,64,9,5728.82,3,5,5,355,Loyal Customers,2,0,0,0,Loyal Customers
17956,249,1,12.75,2,2,1,221,Lost / Inactive,4,1,4,1,Hibernating Low-Value
12892,397,1,263.38,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15948,8,3,1509.09,5,3,4,534,Loyal Customers,3,0,2,4,New Active
16688,1,4,1260.86,5,4,4,544,Champions,3,0,2,4,New Active
14535,60,9,5973.23,3,5,5,355,Loyal Customers,2,0,0,0,Loyal Customers
16479,10,2,300.83,5,2,2,522,Promising / New,3,0,1,4,New Active
15613,610,1,433.72,1,1,2,112,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15727,17,15,9371.71,5,5,5,555,Champions,0,0,0,0,VIP Champions
15536,409,1,259.09,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13161,313,2,472.13,2,2,2,222,Lost / Inactive,4,0,3,2,Hibernating Low-Value
15508,189,6,1000.27,3,4,3,343,Loyal Customers,1,0,3,0,At-Risk Churn
12360,52,8,4252.89,4,4,5,445,Champions,2,0,0,0,Loyal Customers
16193,237,2,630.43,2,2,3,223,Lost / Inactive,1,0,3,2,At-Risk Churn
18101,11,5,622.01,5,4,3,543,Champions,3,0,2,0,New Active
15339,66,7,1821.02,3,4,4,344,Loyal Customers,2,0,2,0,Loyal Customers
15342,130,1,406.09,3,1,2,312,Needs Attention,4,1,4,1,Hibernating Low-Value
14987,16,8,1550.65,5,4,4,544,Champions,2,0,2,0,Loyal Customers
14400,149,3,1732.47,3,3,4,334,Loyal Customers,1,0,3,4,At-Risk Churn
12412,75,6,2596.93,3,4,4,344,Loyal Customers,2,0,2,0,Loyal Customers
16629,74,2,408.63,3,2,2,322,Needs Attention,3,0,1,4,New Active
13725,50,8,1980.56,4,4,4,444,Champions,2,0,2,0,Loyal Customers
16837,31,11,3170.98,4,5,5,455,Champions,2,0,0,0,Loyal Customers
14030,18,20,7521.8,5,5,5,555,Champions,0,0,0,0,VIP Champions
16870,469,1,450.16,1,2,2,122,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15487,680,1,231.32,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13025,732,1,323.39,1,1,2,112,Lost / Inactive,4,1,4,1,Hibernating Low-Value
12787,10,4,862.18,5,3,3,533,Loyal Customers,3,0,2,4,New Active
14991,430,1,314.67,1,1,2,112,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14502,20,11,2429.83,4,5,4,454,Champions,2,0,2,0,Loyal Customers
12435,80,6,13925.93,3,4,5,345,Loyal Customers,2,0,0,3,Loyal Customers
16312,432,1,171.15,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13102,1,37,11380.1,5,5,5,555,Champions,0,0,0,3,VIP Champions
17752,359,1,80.64,2,2,1,221,Lost / Inactive,4,1,4,1,Hibernating Low-Value
12666,394,1,1248.42,2,1,4,214,Lost / Inactive,1,1,3,1,At-Risk Churn
13737,200,1,339.6,2,1,2,212,Lost / Inactive,4,1,4,1,Hibernating Low-Value
16949,4,6,1286.27,5,4,4,544,Champions,2,0,2,0,Loyal Customers
17169,58,3,1156.73,4,3,3,433,Loyal Customers,3,0,2,4,New Active
15070,373,3,737.05,2,3,3,233,At Risk,1,0,3,2,At-Risk Churn
16964,733,2,207.85,1,3,1,131,At Risk,4,0,4,2,Hibernating Low-Value
13622,696,1,658.95,1,1,3,113,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15857,19,2,570.48,5,2,2,522,Promising / New,3,0,2,4,New Active
13581,309,2,280.53,2,2,1,221,Lost / Inactive,4,0,1,2,Hibernating Low-Value
17226,309,3,895.47,2,3,3,233,At Risk,1,0,3,2,At-Risk Churn
17577,645,2,348.75,1,3,2,132,At Risk,4,0,3,2,Hibernating Low-Value
12719,5,2,644.95,5,2,3,523,Promising / New,3,0,2,4,New Active
15793,15,8,2399.57,5,4,4,544,Champions,2,0,2,0,Loyal Customers
12902,265,1,138.68,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
16653,16,2,1212.66,5,2,3,523,Promising / New,3,0,2,4,New Active
13390,75,1,544.08,3,1,2,312,Needs Attention,3,1,1,1,New Active
13004,12,36,11650.85,5,5,5,555,Champions,0,0,0,3,VIP Champions
17460,94,16,2157.97,3,5,4,354,Loyal Customers,2,0,0,0,Loyal Customers
14816,197,1,271.85,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15641,105,12,5345.55,3,5,5,355,Loyal Customers,2,0,0,0,Loyal Customers
12698,590,1,339.75,1,1,2,112,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15318,4,1,312.62,5,1,2,512,Promising / New,3,1,1,1,New Active
17018,41,6,2287.7,4,4,4,444,Champions,2,0,2,0,Loyal Customers
12528,9,6,1933.48,5,4,4,544,Champions,2,0,2,0,Loyal Customers
17753,464,4,382.06,1,4,2,142,At Risk,1,0,3,2,At-Risk Churn
14496,312,7,2363.89,2,4,4,244,At Risk,1,0,3,0,At-Risk Churn
17118,318,1,157.02,2,2,1,221,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14961,11,22,16410.15,5,5,5,555,Champions,0,0,0,0,VIP Champions
14463,98,4,786.57,3,3,3,333,Loyal Customers,1,0,3,0,At-Risk Churn
16892,1,7,754.75,5,4,3,543,Champions,3,0,2,0,New Active
