StockCode,Description,total_units_sold,transaction_count,demand_std,total_revenue,avg_price,unique_customers,avg_daily_demand
22386,JUMBO BAG PINK POLKADOT,23572,1068,52.95778757656861,43319.16,2.0029119850187267,432,31.94
22469,HEART OF WICKER SMALL,26193,1821,48.91971829536281,43316.54,1.6381823174080175,886,35.49
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,1236,39.68455548481497,43313.9,1.9750485436893204,504,32.67
22138,BAKING SET 9 PIECE RETROSPOT ,9035,1753,14.364474787779512,43070.909999999996,4.9517741015402175,1137,12.24
21843,RED RETROSPOT CAKE STAND,4298,985,13.07288372495287,42862.74,10.869421319796954,502,5.82
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,1473,16.116765696480346,42463.2,4.893550577053632,717,12.32
21754,HOME BUILDING BLOCK WORD,7231,1852,3.939581771517162,42453.11,5.963963282937365,682,9.8
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,1060,60.59008004019011,41824.26,1.6490377358490567,415,36.72
21175,GIN + TONIC DIET METAL SIGN,19755,1397,78.93296827816013,40940.78,2.259413027916965,543,26.77
22457,NATURAL SLATE HEART CHALKBOARD ,14187,1649,19.530916196874347,40276.17,2.9584354154032746,874,19.22
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14630,1156,30.588470401243324,40219.82,2.9324567474048444,439,19.82
48138,DOORMAT UNION FLAG,6146,877,26.37451863110487,40053.72,7.668266818700114,467,8.33
82494L,WOODEN FRAME ANTIQUE WHITE ,14368,1790,10.493755305835954,39909.17,2.8997430167597766,631,19.47
20727,LUNCH BAG  BLACK SKULL.,25392,2045,35.68121682631998,39904.0,1.6399951100244499,705,34.41
21915,RED  HARMONICA IN BOX ,35229,890,151.51755160552958,39870.65,1.2519775280898877,467,47.74
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,658,64.52780404397411,39822.34,3.192735562310031,298,18.8
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,1859,29.799999577965032,39682.67,1.2356750941366326,683,45.93
22502,PICNIC BASKET WICKER 60 PIECES,61,2,41.71930009000631,39619.5,649.5,1,0.08
21166,COOK WITH WINE METAL SIGN ,19652,1235,40.02601013605196,37029.34,1.977408906882591,475,26.63
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,1672,18.67805386879047,37011.1,2.564078947368421,601,21.2
20728,LUNCH BAG CARS BLUE,23304,1820,37.84156059137552,36644.28,1.6495274725274724,702,31.58
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1007,234,9.176723976437929,36259.65,38.497008547008555,151,1.36
22629,SPACEBOY LUNCH BOX ,20271,1119,44.750911971262475,36150.99,1.9303753351206436,456,27.47
23284,DOORMAT KEEP CALM AND COME IN,5338,652,28.934301654899958,35880.85,7.91196319018405,378,7.23
23298,SPOTTY BUNTING,7633,1014,16.524973676509628,35509.55,4.917840236686391,571,10.34
85066,CREAM SWEETHEART MINI CHEST,2948,818,9.25800903605654,35264.73,12.656833740831297,471,3.99
20713,JUMBO BAG OWLS,19463,929,47.049539673556424,35162.42,1.967599569429494,371,26.37
48194,DOORMAT HEARTS,5788,859,29.730962747807542,35069.4,7.629965075669383,448,7.84
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,1309,12.21980137994322,34479.62,4.023521772345302,626,11.99
22960,JAM MAKING SET WITH JARS,8454,904,16.41846653544636,33833.72,4.181095132743363,583,11.46
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12356,993,51.89257898074554,33670.24,2.9206344410876133,400,16.74
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010,1152,22.632439893424902,33298.3,4.953637152777778,640,9.5
20726,LUNCH BAG WOODLAND,20916,1607,39.46821640919914,33004.76,1.6512445550715618,585,28.34
22197,SMALL POPCORN HOLDER,42955,1059,171.94561252365966,32505.93,0.8353918791312559,426,58.2
22699,ROSES REGENCY TEACUP AND SAUCER ,11939,1069,30.67019334214338,32470.65,2.915397567820393,521,16.18
20725,LUNCH BAG RED RETROSPOT,20294,1539,21.835855894705624,32137.5,1.656367771280052,605,27.5
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,966,26.42585755467499,31876.47,3.784886128364389,500,12.55
20685,DOORMAT RED RETROSPOT,4806,759,18.984590752415194,31864.2,7.739288537549407,416,6.51
21755,LOVE BUILDING BLOCK WORD,5367,1506,3.7659411320445524,31590.41,5.9658432934926955,661,7.27
48187,DOORMAT NEW ENGLAND,5146,730,31.076308237733194,31461.34,7.720205479452055,389,6.97
22630,DOLLY GIRL LUNCH BOX,17340,1012,48.55512456969291,30921.64,1.9443280632411066,423,23.5
22727,ALARM CLOCK BAKELIKE RED ,8512,1160,29.513009240650565,30703.09,3.7613965517241383,473,11.53
85152,HAND OVER THE CHOCOLATE   SIGN ,16146,1312,29.837582542411504,30615.93,2.081425304878049,486,21.88
82486,WOOD S/3 CABINET ANT WHITE FINISH,3913,1014,3.67736779405159,30363.75,8.026528599605522,320,5.3
22382,LUNCH BAG SPACEBOY DESIGN ,18834,1890,16.756179698643187,30131.7,1.6465396825396825,774,25.52
22385,JUMBO BAG SPACEBOY DESIGN,16383,982,38.48706715953146,29810.15,1.979439918533605,412,22.2
21523,DOORMAT FANCY FONT HOME SWEET HOME,4825,572,30.522152003882123,29691.95,7.738181818181817,271,6.54
48185,DOORMAT FAIRY CAKE,4760,421,58.419653262776706,29116.96,7.754893111638955,219,6.45
20712,JUMBO BAG WOODLAND ANIMALS,15709,925,34.86411040004025,29105.5,1.9862594594594594,387,21.29
15036,ASSORTED COLOURS SILK FAN,40994,635,155.02464773993322,28766.32,0.7659527559055118,303,55.55
47590B,PINK HAPPY BIRTHDAY BUNTING,5652,815,19.672863653820453,28581.4,5.4121349693251535,428,7.66
20679,EDWARDIAN PARASOL RED,6029,623,44.28826484915162,28557.920000000002,5.819614767255216,271,8.17
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,799,39.19271226760365,28513.3,2.9024405506883606,357,14.26
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4774,1062,5.961506781830568,27952.22,6.194406779661017,361,6.47
22379,RECYCLING BAG RETROSPOT ,14259,1022,44.53495310072276,27893.78,2.09366927592955,423,19.32
22139,RETROSPOT TEA SET CERAMIC 11 PC ,5745,1150,7.054122378063107,27595.329999999998,4.975026086956522,652,7.78
22865,HAND WARMER OWL DESIGN,13675,1101,25.952549289642562,27514.63,2.1029791099000907,566,18.53
22188,BLACK HEART CARD HOLDER,10255,488,90.34925275557676,27324.45,3.838258196721312,292,13.9
22622,BOX OF VINTAGE ALPHABET BLOCKS,2833,514,11.164936582489517,27251.26,10.414902723735407,346,3.84
20725,LUNCH BAG RED SPOTTY,17456,1070,25.944722300812064,27237.6,1.6314392523364485,499,23.65
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,1291,24.427641572803783,27222.52,2.953152594887684,701,13.01
22077,6 RIBBONS RUSTIC CHARM,16026,1390,17.34651484131657,27031.04,1.7178992805755398,685,21.72
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,727,41.62255972965089,26847.1,1.914484181568088,333,20.81
22659,LUNCH BOX I LOVE LONDON,15156,784,46.6357557110529,26596.72,1.925752551020408,293,20.54
23245,SET OF 3 REGENCY CAKE TINS,5844,721,27.56285717592456,26566.280000000002,4.932690707350902,472,7.92
23199,JUMBO BAG APPLES,13875,724,40.600973637524824,26426.3,2.0620027624309394,344,18.8
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,1603,100.8033615250037,26407.35,0.5449906425452278,767,73.97
22467,GUMBALL COAT RACK,11460,940,22.532984506067642,26149.13,2.497053191489362,398,15.53
22492,MINI PAINT SET VINTAGE ,41507,618,125.33050306135958,25900.19,0.6521359223300971,356,56.24
72741,GRAND CHOCOLATECANDLE,19284,826,49.39553376161339,25895.4,1.421912832929782,510,26.13
84991,60 TEATIME FAIRY CAKE CASES,52828,1813,64.56341001706645,25785.92,0.5432928847214562,822,71.58
22752,SET 7 BABUSHKA NESTING BOXES,3273,585,11.038303843375223,25620.989999999998,8.411470085470086,323,4.43
22726,ALARM CLOCK BAKELIKE GREEN,6713,1052,15.437795974994595,24898.96,3.781159695817491,404,9.1
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,719,34.907232136564716,24450.6,1.9206675938803894,358,18.65
85099B,JUMBO BAG RED WHITE SPOTTY ,13879,471,57.243883625984616,24323.85,1.9092356687898089,321,18.81
23355,HOT WATER BOTTLE KEEP CALM,5313,731,17.334953498182195,24302.55,4.866142270861833,474,7.2
47566B,TEA TIME PARTY BUNTING,5612,661,22.10289937383419,24255.3,4.725340393343419,350,7.6
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,1213,32.166650472265424,24248.29,2.0936026380873867,684,16.5
48138,DOOR MAT UNION FLAG,3733,638,10.386325256147682,24216.23,7.056379310344828,389,5.06
23201,JUMBO BAG ALPHABET,12533,757,33.78802705697536,24160.44,2.0582430647291945,396,16.98
22624,IVORY KITCHEN SCALES,2916,1066,4.0200669913327625,24137.48,8.530816135084429,579,3.95
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,921,318.3084390653356,24098.03,0.2619978284473398,482,142.53
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20064,1238,37.31206275028714,23812.52,1.2567366720516961,568,27.19
37503,TEA TIME CAKE STAND IN GIFT BOX,2384,466,10.94146129389227,23784.8,10.618497854077253,256,3.23
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,1114,73.02599596198915,23598.510000000002,0.6429443447037702,524,53.2
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,1018,80.3297698481474,23554.3,1.2539292730844793,490,27.78
47590A,BLUE HAPPY BIRTHDAY BUNTING,4681,634,21.67590747560605,23531.47,5.431876971608832,355,6.34
22697,GREEN REGENCY TEACUP AND SAUCER,8500,945,13.084672652240318,23507.24,2.928878306878307,475,11.52
22866,HAND WARMER SCOTTY DOG DESIGN,11667,984,22.186777557919175,23436.66,2.0897154471544717,530,15.81
22197,POPCORN HOLDER,30919,653,158.18074421542963,23417.51,0.8432312404287902,295,41.9
84836,ZINC METAL HEART DECORATION,19328,1269,30.204290609276025,23331.43,1.2495665878644602,662,26.19
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,410,218.32094721989176,23322.62,1.9980487804878047,325,16.98
22551,PLASTERS IN TIN SPACEBOY,14623,1170,26.85729637050111,23194.95,1.6505128205128203,616,19.81
21485,RETROSPOT HEART HOT WATER BOTTLE,4895,826,19.616520408014317,23085.53,4.938075060532688,502,6.63
22507,MEMO BOARD RETROSPOT  DESIGN,5208,739,31.349531843743062,23083.44,4.923924221921516,445,7.06
22084,PAPER CHAIN KIT EMPIRE,8437,713,24.26374100583454,23049.95,2.906381486676017,464,11.43
23173,REGENCY TEAPOT ROSES ,2662,357,35.39752487025729,23033.52,9.70313725490196,248,3.61
82583,HOT BATHS METAL SIGN,11797,837,33.623612253395024,23010.12,2.0745758661887694,323,15.99
71459,HANGING JAM JAR T-LIGHT HOLDER,29255,817,67.28825566415878,22805.99,0.8305875152998776,421,39.64
21930,JUMBO STORAGE BAG SKULLS,12305,1011,22.31802975434515,22795.28,1.9759742828882294,386,16.67
22158,3 HEARTS HANGING DECORATION RUSTIC,7982,656,29.69595430532401,22471.86,2.9539024390243904,374,10.82
22961,JAM MAKING SET PRINTED,15867,906,35.6102341280073,22328.95,1.4706291390728476,558,21.5
22867,HAND WARMER BIRD DESIGN,11000,938,20.521278547115028,22168.329999999998,2.1004264392324092,521,14.91
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,386,76.44035530211391,22109.08,4.887694300518135,275,6.31
82600,NO SINGING METAL SIGN,11194,976,22.479599363818686,22097.04,2.0697643442622953,375,15.17
84978,HANGING HEART JAR T-LIGHT HOLDER,19012,1101,22.24095236310712,22079.739999999998,1.2278837420526794,525,25.76
22383,LUNCH BAG SUKI  DESIGN ,13896,1092,21.120612614055922,22026.4,1.6415750915750915,463,18.83
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,1183,69.41815904916363,21838.23,0.5364412510566356,632,61.15
21231,SWEETHEART CERAMIC TRINKET BOX,18488,1198,21.466688915061223,21793.25,1.2468948247078464,500,25.05
21481,FAWN BLUE HOT WATER BOTTLE,7526,840,23.277683835194086,21779.5,3.1203333333333334,439,10.2
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7709,1022,14.903857925806381,21682.03,2.9468297455968693,442,10.45
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,1374,91.0485985086091,21551.8,0.5452838427947598,772,60.6
84946,ANTIQUE SILVER TEA GLASS ETCHED,18604,799,34.608778569231475,21540.44,1.227171464330413,413,25.21
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8849,616,59.307806921885486,21490.17,2.7292532467532467,444,11.99
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2999,544,18.344157691525336,21458.42,8.376727941176469,269,4.06
22835,HOT WATER BOTTLE I AM SO POORLY,4638,818,12.105861098840917,21398.28,4.77002444987775,451,6.28
22728,ALARM CLOCK BAKELIKE PINK,5833,781,29.37508279167948,21369.98,3.777695262483995,357,7.9
22087,PAPER BUNTING WHITE LACE,7752,678,15.869599397695362,21336.35,2.891445427728614,314,10.5
84406B,CREAM CUPID HEARTS COAT HANGER,6682,728,17.218827293464372,21256.0,3.38114010989011,318,9.05
20749,ASSORTED COLOUR MINI CASES,2972,729,9.63279784142474,21169.64,7.783772290809328,426,4.03
22607,WOODEN ROUNDERS GARDEN SET ,2406,646,6.933231241090727,20978.47,9.09470588235294,419,3.26
22113,GREY HEART HOT WATER BOTTLE,5623,942,10.733666246589813,20977.78,3.870615711252654,488,7.62
22556,PLASTERS IN TIN CIRCUS PARADE ,13112,1120,33.02548563445431,20950.16,1.6515714285714285,591,17.77
22090,PAPER BUNTING RETROSPOT,7632,663,17.401325832321355,20933.239999999998,2.9078280542986428,374,10.34
23202,JUMBO BAG VINTAGE LEAF,10695,779,24.422950785988,20921.55,2.078562259306804,377,14.49
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5724,775,11.443809688868855,20838.9,3.8243483870967743,386,7.76
22605,WOODEN CROQUET GARDEN SET,1710,549,8.976425988398079,20813.81,13.36233151183971,377,2.32
22090,PAPER BUNTING RETRO SPOTS,7595,615,30.38648543993676,20723.25,2.9139837398373984,367,10.29
23203,JUMBO BAG VINTAGE DOILY ,10620,628,34.59579784683932,20641.4,2.061926751592357,363,14.39
21314,SMALL GLASS HEART TRINKET POT,10447,717,40.94774045726854,20588.260000000002,2.086136680613668,369,14.16
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5366,664,38.343285646886024,20506.3,3.9170180722891565,394,7.27
22554,PLASTERS IN TIN WOODLAND ANIMALS,12824,1111,23.062502602298096,20471.68,1.6482718271827181,587,17.38
22698,PINK REGENCY TEACUP AND SAUCER,7408,751,19.754498102841353,20329.64,2.925139813581891,400,10.04
48184,DOORMAT ENGLISH ROSE ,3158,464,26.328484156464665,20298.8,7.711163793103449,268,4.28
20711,JUMBO BAG TOYS ,11326,674,40.94957846880219,20283.78,1.9533382789317506,326,15.35
22969,HOMEMADE JAM SCENTED CANDLES,14012,577,75.76635534015682,20204.8,1.4492720970537263,472,18.99
37449,CERAMIC CAKE STAND + HANGING CAKES,2277,411,11.770787278231134,20204.579999999998,9.582457420924573,205,3.09
21790,VINTAGE SNAP CARDS,25120,1504,31.415090105790703,19957.34,0.8475531914893617,793,34.04
22585,PACK OF 6 BIRDY GIFT TAGS,16784,989,29.06540421727992,19950.85,1.2484327603640042,612,22.74
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,4304,697,13.255049223586036,19921.27,4.89958393113343,465,5.83
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25389,1150,34.31155712414768,19821.96,0.8483304347826086,616,34.4
22083,PAPER CHAIN KIT RETRO SPOT,7351,494,39.89417933114642,19804.55,2.897267206477733,324,9.96
22617,BAKING SET SPACEBOY DESIGN,4165,889,14.125077175250462,19719.21,4.9832170978627675,600,5.64
22294,HEART FILIGREE DOVE  SMALL,16260,739,36.25941602009422,19686.6,1.2456292286874153,414,22.03
22941,CHRISTMAS LIGHTS 10 REINDEER,2487,407,21.001408853164936,19590.9,8.442137592137591,315,3.37
22273,FELTCRAFT DOLL MOLLY,7203,711,50.881730242347146,19332.93,2.947116736990155,423,9.76
22570,FELTCRAFT CUSHION RABBIT,5420,680,24.107192253712288,19282.55,3.7321617647058822,351,7.34
21524,DOORMAT SPOTTY HOME SWEET HOME,2671,636,7.608908986441347,19215.5,7.825094339622642,355,3.62
48188,DOORMAT WELCOME PUPPIES,3345,368,38.482100328203806,19178.670000000002,7.803179347826087,220,4.53
22625,RED KITCHEN SCALES,2360,781,4.705238482959469,19149.63,8.440307298335467,440,3.2
21791,VINTAGE HEADS AND TAILS CARD GAME ,16199,1067,35.60465017050842,19147.65,1.2553514526710403,641,21.95
22568,FELTCRAFT CUSHION OWL,5312,774,15.40901951912983,19128.13,3.759832041343669,389,7.2
22569,FELTCRAFT CUSHION BUTTERFLY,5357,688,22.496630560251376,18865.21,3.730334302325581,360,7.26
22413,METAL SIGN TAKE IT OR LEAVE IT ,6814,773,53.44723495910031,18863.02,2.942393272962484,446,9.23
85150,LADIES & GENTLEMEN METAL SIGN,8078,894,17.08266098614166,18847.98,2.5220805369127515,369,10.95
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17242,282,227.043165556176,18798.98,1.2356028368794325,197,23.36
22501,PICNIC BASKET WICKER LARGE,2055,497,10.630332419661302,18794.25,9.797122736418512,346,2.78
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2525,437,7.414260544450114,18618.75,7.75091533180778,309,3.42
21622,VINTAGE UNION JACK CUSHION COVER,3517,556,28.842975860078976,18495.47,4.949712230215828,329,4.77
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13410,1027,18.781850414334027,18411.74,1.4597565725413828,541,18.17
21213,PACK OF 72 SKULL CAKE CASES,38530,1178,82.42798945256676,18319.18,0.5392444821731749,528,52.21
22499,WOODEN UNION JACK BUNTING,3165,636,7.420618883120716,18251.280000000002,5.9413679245283015,452,4.29
23206,LUNCH BAG APPLE DESIGN,11530,878,23.87516646732085,18220.5,1.6413439635535307,401,15.62
22384,LUNCH BAG PINK POLKADOT,11392,1116,16.87611868032438,18207.2,1.651290322580645,508,15.44
21908,CHOCOLATE THIS WAY METAL SIGN,9396,809,34.523483069592416,18041.239999999998,2.107663782447466,382,12.73
84949,SILVER HANGING T-LIGHT HOLDER,11635,622,34.24570589496947,18001.35,1.632958199356913,330,15.77
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1702,384,8.783773251931105,17888.71,12.110182291666666,249,2.31
22561,WOODEN SCHOOL COLOURING SET,11158,856,24.387105897028896,17861.22,1.6494392523364485,556,15.12
21174,POTTERING IN THE SHED METAL SIGN,9247,866,24.515775605671514,17814.51,1.9918013856812935,402,12.53
22555,PLASTERS IN TIN STRONGMAN,11048,869,38.758731028775365,17664.44,1.6477445339470655,514,14.97
22456,NATURAL SLATE CHALKBOARD LARGE ,4016,596,23.471748359839392,17637.16,4.880536912751678,385,5.44
23344,JUMBO BAG 50'S CHRISTMAS ,8933,592,24.184508440464157,17636.04,2.070135135135135,391,12.1
22427,ENAMEL FLOWER JUG CREAM,3039,706,6.52018420917939,17471.23,5.912011331444759,460,4.12
21936,RED RETROSPOT PICNIC BAG,6292,705,16.399444610313996,17462.96,2.938879432624114,359,8.53
22061,LARGE CAKE STAND  HANGING STRAWBERY,2086,444,11.029363492453454,17354.85,9.548828828828828,219,2.83
22147,FELTCRAFT BUTTERFLY HEARTS,12605,1065,42.269167962877205,17238.05,1.4482816901408448,582,17.08
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,15028,577,42.73502881985878,17162.93,1.2380069324090122,312,20.36
21479,WHITE SKULL HOT WATER BOTTLE ,4538,754,16.377021282872796,16917.32,3.8781432360742705,410,6.15
21136,PAINTED METAL PEARS ASSORTED,10255,722,21.954405869514737,16907.51,1.6879916897506926,449,13.9
22633,HAND WARMER UNION JACK,8364,831,19.142033826260402,16857.36,2.0868471720818293,473,11.33
22560,TRADITIONAL MODELLING CLAY,14393,667,41.99793748852463,16851.64,1.251544227886057,420,19.5
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,21125,592,59.33460612063678,16833.35,0.8471959459459459,344,28.62
23203,JUMBO BAG DOILEY PATTERNS,8735,457,40.73642501127864,16737.1,2.0462800875273524,299,11.84
22169,FAMILY ALBUM WHITE PICTURE FRAME,2094,570,5.420021670518402,16676.94,8.373842105263158,276,2.84
22505,MEMO BOARD COTTAGE DESIGN,3605,662,12.286022850487946,16599.89,4.918519637462236,397,4.88
21218,RED SPOTTY BISCUIT TIN,4715,592,13.38548947074849,16431.45,3.7139527027027026,313,6.39
22847,BREAD BIN DINER STYLE IVORY,1049,435,3.331646376452919,16335.789999999999,16.50880459770115,259,1.42
84992,72 SWEETHEART FAIRY CAKE CASES,33936,1215,84.69121251109904,16178.47,0.5467901234567901,614,45.98
21527,RED RETROSPOT TRADITIONAL TEAPOT ,2266,514,13.312571725795323,15892.74,7.849863813229572,280,3.07
21164,HOME SWEET HOME METAL SIGN ,5839,632,27.695620966328686,15888.49,2.9307278481012657,356,7.91
22297,HEART IVORY TRELLIS SMALL,12939,666,30.850184692310755,15836.59,1.2510660660660662,391,17.53
22424,ENAMEL BREAD BIN CREAM,1300,560,5.040115081093584,15621.65,12.654785714285715,310,1.76
48173C,DOORMAT BLACK FLOCK ,2813,291,39.06328493464239,15618.36,7.661408934707905,166,3.81
22557,PLASTERS IN TIN VINTAGE PAISLEY ,9827,1019,26.520587101450857,15614.59,1.6611874386653582,580,13.32
22083,PAPER CHAIN KIT RETROSPOT,5514,588,12.686642942643315,15411.86,2.945646258503402,376,7.47
21877,HOME SWEET HOME MUG,13856,652,72.11831834535519,15399.56,1.314616564417178,323,18.78
22383,LUNCH BAG SUKI DESIGN ,9570,915,16.842467851247328,15332.9,1.6533224043715846,399,12.97
22690,DOORMAT HOME SWEET HOME BLUE ,2493,402,24.080221243239954,15329.57,7.726791044776119,278,3.38
71053,WHITE METAL LANTERN,4306,600,11.391153857235924,15309.64,3.6891666666666665,290,5.83
22662,LUNCH BAG DOLLY GIRL DESIGN,9715,883,21.754348888077644,15305.19,1.6511098527746317,426,13.16
22632,HAND WARMER RED RETROSPOT,7578,699,19.922175711672637,15272.52,2.091244635193133,421,10.27
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,16445,828,33.379772668959426,15241.51,0.9765096618357487,463,22.28
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6418,811,15.86042353350889,15232.34,2.5467447595561032,353,8.7
22296,HEART IVORY TRELLIS LARGE,9416,760,22.3192997358249,15218.08,1.650894736842105,428,12.76
84946,ANTIQUE SILVER T-LIGHT GLASS,12949,537,33.01854043743409,15176.42,1.2427746741154562,348,17.55
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,1632,446,7.227941617166109,15172.6,9.841973094170402,301,2.21
20685,DOOR MAT RED SPOT,2426,369,16.828918606756666,15093.48,7.176531165311653,245,3.29
22041,"RECORD FRAME 7"" SINGLE SIZE ",6845,323,29.624151798597676,15088.77,2.454953560371517,101,9.28
21843,RETRO SPOT CAKE STAND,1431,295,10.64540354454971,15083.45,10.86864406779661,207,1.94
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,4198,424,21.243262852066515,15067.14,3.73127358490566,238,5.69
20719,WOODLAND CHARLOTTE BAG,19027,1070,29.75972162919171,15030.64,0.8416168224299065,365,25.78
22634,CHILDS BREAKFAST SET SPACEBOY ,1627,466,5.053789308712001,15021.4,9.744635193133048,322,2.2
22502,PICNIC BASKET WICKER SMALL,2985,571,7.602677598738066,14945.6,5.235726795096322,335,4.04
22652,TRAVEL SEWING KIT,9353,729,39.14756016868864,14859.81,1.6529080932784637,440,12.67
21975,PACK OF 60 DINOSAUR CAKE CASES,30881,1159,67.95501371017406,14818.01,0.548360655737705,543,41.84
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3405,373,51.516982873076834,14796.15,5.878016085790884,247,4.61
