StockCode,Description,total_units_sold,transaction_count,demand_std,total_revenue,avg_price,unique_customers,avg_daily_demand,safety_stock,reorder_point,eoq,current_stock,stock_status,recommended_action
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,1048,36.90973857980831,54525.36,6.962461832061068,451,13.11,162,254,322,178,Reorder Triggered,Order 322 units immediately
21621,VINTAGE UNION JACK BUNTING,6497,1135,17.228741308427,54432.62,8.499444933920705,583,8.8,76,138,239,98,Reorder Triggered,Order 239 units immediately
15056N,EDWARDIAN PARASOL NATURAL,10948,866,40.463771422280416,54332.61,5.787598152424943,347,14.83,177,281,375,273,Reorder Triggered,Order 375 units immediately
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,1464,38.90505686013245,52188.18,1.95754781420765,506,39.16,170,445,1047,648,Optimal,Maintain current stock levels
23084,RABBIT NIGHT LIGHT,27153,823,137.87615637471086,51251.24,2.0127703523693805,450,36.79,602,860,1001,1076,Optimal,Maintain current stock levels
22470,HEART OF WICKER LARGE,17104,1783,42.85319593516248,49859.5,2.944598990465508,827,23.18,188,351,657,331,Reorder Triggered,Order 657 units immediately
21733,RED HANGING HEART T-LIGHT HOLDER,17228,1660,30.694398898421976,48850.6,2.915765060240964,744,23.34,134,298,663,491,Optimal,Maintain current stock levels
21931,JUMBO STORAGE BAG SUKI,25970,1728,26.396014785367857,47760.99,1.9728645833333331,546,35.19,116,363,989,221,Reorder Triggered,Order 989 units immediately
22189,CREAM HEART CARD HOLDER,15946,1134,64.37889606553047,47414.2,3.878165784832452,536,21.61,282,434,553,410,Reorder Triggered,Order 553 units immediately
15056BL,EDWARDIAN PARASOL BLACK,9351,799,43.630521795820414,45885.07,5.794080100125157,321,12.67,191,280,347,310,Optimal,Maintain current stock levels
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,1467,58.91028599585084,45746.75,1.3451874573960465,593,50.52,258,612,1434,798,Optimal,Maintain current stock levels
22112,CHOCOLATE HOT WATER BOTTLE,9904,1462,10.833804959856472,45601.34,4.878344733242134,631,13.42,48,142,389,288,Overstocked,Overstock alert: Pause purchase orders (Excess: 4 units)
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,1691,28.55401758282173,45059.13,1.980715552927262,658,32.92,125,356,954,264,Reorder Triggered,Order 954 units immediately
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,1247,23.46372188153947,44998.27,2.9220930232558144,701,22.32,103,260,647,373,Optimal,Maintain current stock levels
21623,VINTAGE UNION JACK MEMOBOARD,6125,499,56.61146709256514,44785.83,9.774549098196394,311,8.3,248,307,216,493,Optimal,Maintain current stock levels
21181,PLEASE ONE PERSON METAL SIGN,22379,1415,31.99273761683441,44310.6,2.073053003533569,562,30.32,140,353,895,142,Reorder Triggered,Order 895 units immediately
22386,JUMBO BAG PINK POLKADOT,23572,1068,52.95778757656861,43319.16,2.0029119850187267,432,31.94,232,456,935,747,Optimal,Maintain current stock levels
22469,HEART OF WICKER SMALL,26193,1821,48.91971829536281,43316.54,1.6381823174080177,886,35.49,214,463,1090,313,Reorder Triggered,"Order 1,090 units immediately"
21929,JUMBO BAG PINK VINTAGE PAISLEY,24108,1236,39.68455548481497,43313.9,1.9750485436893204,504,32.67,174,403,952,179,Reorder Triggered,Order 952 units immediately
22138,BAKING SET 9 PIECE RETROSPOT ,9035,1753,14.364474787779512,43070.91,4.9517741015402175,1137,12.24,63,149,368,356,Overstocked,Overstock alert: Pause purchase orders (Excess: 58 units)
21843,RED RETROSPOT CAKE STAND,4298,985,13.07288372495287,42862.74,10.869421319796954,502,5.82,58,99,172,241,Overstocked,Overstock alert: Pause purchase orders (Excess: 43 units)
22111,SCOTTIE DOG HOT WATER BOTTLE,9092,1473,16.116765696480346,42463.2,4.893550577053632,717,12.32,71,158,372,329,Overstocked,Overstock alert: Pause purchase orders (Excess: 13 units)
21754,HOME BUILDING BLOCK WORD,7231,1852,3.939581771517162,42453.11,5.963963282937365,682,9.8,18,87,300,85,Reorder Triggered,Order 300 units immediately
21731,RED TOADSTOOL LED NIGHT LIGHT,27102,1060,60.59008004019011,41824.26,1.6490377358490569,415,36.72,265,523,1105,270,Reorder Triggered,"Order 1,105 units immediately"
21175,GIN + TONIC DIET METAL SIGN,19755,1397,78.93296827816013,40940.78,2.259413027916965,543,26.77,345,533,806,963,Optimal,Maintain current stock levels
22457,NATURAL SLATE HEART CHALKBOARD ,14187,1649,19.530916196874347,40276.17,2.9584354154032746,874,19.22,86,221,597,281,Optimal,Maintain current stock levels
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14630,1156,30.588470401243324,40219.82,2.9324567474048444,439,19.82,134,273,609,156,Reorder Triggered,Order 609 units immediately
48138,DOORMAT UNION FLAG,6146,877,26.37451863110487,40053.72,7.668266818700114,467,8.33,116,175,244,244,Optimal,Maintain current stock levels
82494L,WOODEN FRAME ANTIQUE WHITE ,14368,1790,10.493755305835954,39909.17,2.8997430167597766,631,19.47,46,183,607,69,Reorder Triggered,Order 607 units immediately
20727,LUNCH BAG  BLACK SKULL.,25392,2045,35.68121682631998,39904.0,1.63999511002445,705,34.41,156,397,1072,914,Overstocked,Overstock alert: Pause purchase orders (Excess: 120 units)
21915,RED  HARMONICA IN BOX ,35229,890,151.51755160552958,39870.65,1.2519775280898875,467,47.74,662,997,1445,867,Reorder Triggered,"Order 1,445 units immediately"
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,658,64.52780404397411,39822.34,3.192735562310031,298,18.8,282,414,568,728,Optimal,Maintain current stock levels
21232,STRAWBERRY CERAMIC TRINKET BOX,33899,1859,29.799999577965032,39682.67,1.2356750941366326,683,45.93,131,453,1427,447,Reorder Triggered,"Order 1,427 units immediately"
22502,PICNIC BASKET WICKER 60 PIECES,61,2,41.71930009000631,39619.5,649.5,1,0.08,183,184,3,266,Optimal,Maintain current stock levels
21166,COOK WITH WINE METAL SIGN ,19652,1235,40.02601013605196,37029.34,1.977408906882591,475,26.63,175,362,859,545,Optimal,Maintain current stock levels
82482,WOODEN PICTURE FRAME WHITE FINISH,15643,1672,18.67805386879047,37011.1,2.564078947368421,601,21.2,82,231,673,164,Reorder Triggered,Order 673 units immediately
20728,LUNCH BAG CARS BLUE,23304,1820,37.84156059137552,36644.28,1.6495274725274724,702,31.58,166,388,1024,945,Overstocked,Overstock alert: Pause purchase orders (Excess: 169 units)
84078A,SET/4 WHITE RETRO STORAGE CUBES ,1007,234,9.176723976437929,36259.65,38.49700854700856,151,1.36,41,51,44,103,Overstocked,Overstock alert: Pause purchase orders (Excess: 1 units)
22629,SPACEBOY LUNCH BOX ,20271,1119,44.75091197126248,36150.99,1.930375335120644,456,27.47,196,389,883,921,Overstocked,Overstock alert: Pause purchase orders (Excess: 143 units)
23284,DOORMAT KEEP CALM AND COME IN,5338,652,28.93430165489996,35880.85,7.91196319018405,378,7.23,127,178,224,404,Overstocked,Overstock alert: Pause purchase orders (Excess: 48 units)
23298,SPOTTY BUNTING,7633,1014,16.524973676509628,35509.55,4.917840236686391,571,10.34,73,146,340,236,Optimal,Maintain current stock levels
85066,CREAM SWEETHEART MINI CHEST,2948,818,9.25800903605654,35264.73,12.656833740831296,471,3.99,41,69,132,161,Overstocked,Overstock alert: Pause purchase orders (Excess: 23 units)
20713,JUMBO BAG OWLS,19463,929,47.04953967355642,35162.42,1.967599569429494,371,26.37,206,391,857,194,Critical Risk,Order 857 units immediately
48194,DOORMAT HEARTS,5788,859,29.730962747807546,35069.4,7.629965075669383,448,7.84,130,185,238,136,Reorder Triggered,Order 238 units immediately
22114,HOT WATER BOTTLE TEA AND SYMPATHY,8848,1309,12.21980137994322,34479.62,4.023521772345302,626,11.99,54,138,404,56,Reorder Triggered,Order 404 units immediately
22960,JAM MAKING SET WITH JARS,8454,904,16.41846653544636,33833.72,4.181095132743363,583,11.46,72,153,388,156,Optimal,Maintain current stock levels
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12356,993,51.89257898074554,33670.24,2.9206344410876133,400,16.74,227,345,561,399,Optimal,Maintain current stock levels
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7010,1152,22.632439893424905,33298.3,4.953637152777778,640,9.5,99,166,325,149,Reorder Triggered,Order 325 units immediately
20726,LUNCH BAG WOODLAND,20916,1607,39.46821640919914,33004.76,1.6512445550715618,585,28.34,173,372,970,790,Overstocked,Overstock alert: Pause purchase orders (Excess: 46 units)
22197,SMALL POPCORN HOLDER,42955,1059,171.94561252365966,32505.93,0.8353918791312559,426,58.2,751,1159,1786,1258,Optimal,Maintain current stock levels
22699,ROSES REGENCY TEACUP AND SAUCER ,11939,1069,30.67019334214338,32470.65,2.915397567820393,521,16.18,134,248,552,228,Reorder Triggered,Order 552 units immediately
20725,LUNCH BAG RED RETROSPOT,20294,1539,21.835855894705624,32137.5,1.656367771280052,605,27.5,96,289,954,432,Optimal,Maintain current stock levels
84029E,RED WOOLLY HOTTIE WHITE HEART.,9259,966,26.42585755467499,31876.47,3.784886128364389,500,12.55,116,204,427,125,Reorder Triggered,Order 427 units immediately
20685,DOORMAT RED RETROSPOT,4806,759,18.984590752415198,31864.2,7.739288537549407,416,6.51,83,129,215,267,Overstocked,Overstock alert: Pause purchase orders (Excess: 9 units)
21755,LOVE BUILDING BLOCK WORD,5367,1506,3.765941132044552,31590.41,5.965843293492696,661,7.27,17,68,259,32,Reorder Triggered,Order 259 units immediately
48187,DOORMAT NEW ENGLAND,5146,730,31.076308237733198,31461.34,7.720205479452055,389,6.97,136,185,223,458,Overstocked,Overstock alert: Pause purchase orders (Excess: 88 units)
22630,DOLLY GIRL LUNCH BOX,17340,1012,48.55512456969291,30921.64,1.9443280632411064,423,23.5,212,377,814,754,Optimal,Maintain current stock levels
22727,ALARM CLOCK BAKELIKE RED ,8512,1160,29.513009240650565,30703.09,3.7613965517241374,473,11.53,129,210,410,155,Reorder Triggered,Order 410 units immediately
85152,HAND OVER THE CHOCOLATE   SIGN ,16146,1312,29.837582542411504,30615.93,2.081425304878049,486,21.88,131,285,759,89,Critical Risk,Order 759 units immediately
82486,WOOD S/3 CABINET ANT WHITE FINISH,3913,1014,3.67736779405159,30363.75,8.026528599605522,320,5.3,17,55,191,116,Overstocked,Overstock alert: Pause purchase orders (Excess: 6 units)
22382,LUNCH BAG SPACEBOY DESIGN ,18834,1890,16.756179698643187,30131.7,1.6465396825396823,774,25.52,74,253,922,470,Optimal,Maintain current stock levels
22385,JUMBO BAG SPACEBOY DESIGN,16383,982,38.48706715953146,29810.15,1.979439918533605,412,22.2,169,325,784,619,Optimal,Maintain current stock levels
21523,DOORMAT FANCY FONT HOME SWEET HOME,4825,572,30.522152003882123,29691.95,7.738181818181817,271,6.54,134,180,216,360,Optimal,Maintain current stock levels
48185,DOORMAT FAIRY CAKE,4760,421,58.41965326277671,29116.96,7.754893111638955,219,6.45,256,302,214,140,Critical Risk,Order 418 units immediately
20712,JUMBO BAG WOODLAND ANIMALS,15709,925,34.86411040004025,29105.5,1.9862594594594596,387,21.29,153,303,767,330,Optimal,Maintain current stock levels
15036,ASSORTED COLOURS SILK FAN,40994,635,155.02464773993322,28766.32,0.7659527559055118,303,55.55,677,1066,1744,592,Critical Risk,"Order 1,744 units immediately"
47590B,PINK HAPPY BIRTHDAY BUNTING,5652,815,19.672863653820453,28581.4,5.4121349693251535,428,7.66,86,140,279,308,Overstocked,Overstock alert: Pause purchase orders (Excess: 28 units)
20679,EDWARDIAN PARASOL RED,6029,623,44.28826484915162,28557.92,5.819614767255216,271,8.17,194,252,278,422,Optimal,Maintain current stock levels
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10526,799,39.19271226760365,28513.3,2.9024405506883606,357,14.26,172,272,519,280,Optimal,Maintain current stock levels
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4774,1062,5.961506781830568,27952.22,6.194406779661017,361,6.47,27,73,240,33,Reorder Triggered,Order 240 units immediately
22379,RECYCLING BAG RETROSPOT ,14259,1022,44.53495310072276,27893.78,2.09366927592955,423,19.32,195,331,711,326,Reorder Triggered,Order 711 units immediately
22139,RETROSPOT TEA SET CERAMIC 11 PC ,5745,1150,7.054122378063107,27595.33,4.975026086956522,652,7.78,31,86,293,88,Optimal,Maintain current stock levels
22865,HAND WARMER OWL DESIGN,13675,1101,25.95254928964256,27514.63,2.1029791099000907,566,18.53,114,244,695,465,Optimal,Maintain current stock levels
22188,BLACK HEART CARD HOLDER,10255,488,90.34925275557676,27324.45,3.838258196721312,292,13.9,395,493,446,840,Optimal,Maintain current stock levels
22622,BOX OF VINTAGE ALPHABET BLOCKS,2833,514,11.164936582489515,27251.26,10.414902723735407,346,3.84,49,76,143,172,Overstocked,Overstock alert: Pause purchase orders (Excess: 20 units)
20725,LUNCH BAG RED SPOTTY,17456,1070,25.944722300812064,27237.6,1.6314392523364485,499,23.65,114,280,891,375,Optimal,Maintain current stock levels
22666,RECIPE BOX PANTRY YELLOW DESIGN,9600,1291,24.427641572803783,27222.52,2.953152594887684,701,13.01,107,199,492,113,Reorder Triggered,Order 492 units immediately
22077,6 RIBBONS RUSTIC CHARM,16026,1390,17.34651484131657,27031.04,1.7178992805755398,685,21.72,76,229,832,429,Optimal,Maintain current stock levels
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15358,727,41.62255972965089,26847.1,1.914484181568088,333,20.81,182,328,772,648,Optimal,Maintain current stock levels
22659,LUNCH BOX I LOVE LONDON,15156,784,46.6357557110529,26596.72,1.925752551020408,293,20.54,204,348,765,535,Optimal,Maintain current stock levels
23245,SET OF 3 REGENCY CAKE TINS,5844,721,27.56285717592456,26566.28,4.932690707350902,472,7.92,121,177,297,354,Optimal,Maintain current stock levels
23199,JUMBO BAG APPLES,13875,724,40.60097363752482,26426.3,2.0620027624309394,344,18.8,178,310,707,430,Optimal,Maintain current stock levels
21977,PACK OF 60 PINK PAISLEY CAKE CASES,54592,1603,100.8033615250037,26407.35,0.5449906425452278,767,73.97,441,959,2013,1391,Optimal,Maintain current stock levels
22467,GUMBALL COAT RACK,11460,940,22.53298450606764,26149.13,2.497053191489362,398,15.53,99,208,584,259,Optimal,Maintain current stock levels
22492,MINI PAINT SET VINTAGE ,41507,618,125.33050306135958,25900.19,0.6521359223300971,356,56.24,548,942,1755,336,Critical Risk,"Order 1,755 units immediately"
72741,GRAND CHOCOLATECANDLE,19284,826,49.39553376161339,25895.4,1.421912832929782,510,26.13,216,399,1004,215,Critical Risk,"Order 1,004 units immediately"
84991,60 TEATIME FAIRY CAKE CASES,52828,1813,64.56341001706645,25785.92,0.5432928847214562,822,71.58,282,784,1980,290,Reorder Triggered,"Order 1,980 units immediately"
22752,SET 7 BABUSHKA NESTING BOXES,3273,585,11.038303843375225,25620.99,8.411470085470086,323,4.43,49,81,170,138,Optimal,Maintain current stock levels
22726,ALARM CLOCK BAKELIKE GREEN,6713,1052,15.437795974994597,24898.96,3.781159695817491,404,9.1,68,132,363,131,Reorder Triggered,Order 363 units immediately
22386,JUMBO BAG PINK WITH WHITE SPOTS,13766,719,34.90723213656472,24450.6,1.9206675938803892,358,18.65,153,284,730,403,Optimal,Maintain current stock levels
85099B,JUMBO BAG RED WHITE SPOTTY ,13879,471,57.243883625984616,24323.85,1.9092356687898089,321,18.81,250,382,735,878,Overstocked,Overstock alert: Pause purchase orders (Excess: 114 units)
23355,HOT WATER BOTTLE KEEP CALM,5313,731,17.334953498182195,24302.55,4.866142270861833,474,7.2,76,127,285,108,Reorder Triggered,Order 285 units immediately
47566B,TEA TIME PARTY BUNTING,5612,661,22.10289937383419,24255.3,4.725340393343419,350,7.6,97,151,297,182,Optimal,Maintain current stock levels
22149,FELTCRAFT 6 FLOWER FRIENDS,12174,1213,32.166650472265424,24248.29,2.0936026380873867,684,16.5,141,257,657,505,Optimal,Maintain current stock levels
48138,DOOR MAT UNION FLAG,3733,638,10.386325256147682,24216.23,7.056379310344828,389,5.06,46,82,199,66,Reorder Triggered,Order 199 units immediately
23201,JUMBO BAG ALPHABET,12533,757,33.78802705697536,24160.44,2.0582430647291945,396,16.98,148,267,673,126,Critical Risk,Order 673 units immediately
22624,IVORY KITCHEN SCALES,2916,1066,4.0200669913327625,24137.48,8.530816135084429,579,3.95,18,46,160,44,Reorder Triggered,Order 160 units immediately
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,105185,921,318.3084390653356,24098.03,0.2619978284473398,482,142.53,1390,2388,2794,1564,Reorder Triggered,"Order 2,794 units immediately"
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20064,1238,37.31206275028714,23812.52,1.256736672051696,568,27.19,163,354,1089,831,Overstocked,Overstock alert: Pause purchase orders (Excess: 123 units)
37503,TEA TIME CAKE STAND IN GIFT BOX,2384,466,10.94146129389227,23784.8,10.618497854077251,256,3.23,48,71,130,148,Overstocked,Overstock alert: Pause purchase orders (Excess: 6 units)
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,1114,73.02599596198915,23598.51,0.6429443447037702,524,53.2,319,692,1707,1172,Optimal,Maintain current stock levels
20971,PINK BLUE FELT CRAFT TRINKET BOX,20500,1018,80.3297698481474,23554.3,1.253929273084479,490,27.78,351,546,1102,1211,Overstocked,Overstock alert: Pause purchase orders (Excess: 119 units)
47590A,BLUE HAPPY BIRTHDAY BUNTING,4681,634,21.67590747560605,23531.47,5.431876971608832,355,6.34,95,140,253,290,Overstocked,Overstock alert: Pause purchase orders (Excess: 10 units)
22697,GREEN REGENCY TEACUP AND SAUCER,8500,945,13.084672652240318,23507.24,2.928878306878307,475,11.52,58,139,465,99,Reorder Triggered,Order 465 units immediately
22866,HAND WARMER SCOTTY DOG DESIGN,11667,984,22.18677755791917,23436.66,2.089715447154472,530,15.81,97,208,644,471,Overstocked,Overstock alert: Pause purchase orders (Excess: 55 units)
22197,POPCORN HOLDER,30919,653,158.18074421542963,23417.51,0.8432312404287902,295,41.9,691,985,1515,1465,Optimal,Maintain current stock levels
84836,ZINC METAL HEART DECORATION,19328,1269,30.204290609276025,23331.43,1.2495665878644602,662,26.19,132,316,1072,657,Overstocked,Overstock alert: Pause purchase orders (Excess: 25 units)
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12532,410,218.32094721989176,23322.62,1.9980487804878049,325,16.98,954,1073,683,2438,Overstocked,Overstock alert: Pause purchase orders (Excess: 292 units)
22551,PLASTERS IN TIN SPACEBOY,14623,1170,26.85729637050111,23194.95,1.6505128205128203,616,19.81,118,257,811,257,Reorder Triggered,Order 811 units immediately
21485,RETROSPOT HEART HOT WATER BOTTLE,4895,826,19.61652040801432,23085.53,4.938075060532688,502,6.63,86,133,272,73,Critical Risk,Order 272 units immediately
22507,MEMO BOARD RETROSPOT  DESIGN,5208,739,31.349531843743065,23083.44,4.923924221921516,445,7.06,137,187,281,150,Reorder Triggered,Order 281 units immediately
22084,PAPER CHAIN KIT EMPIRE,8437,713,24.26374100583454,23049.95,2.906381486676017,464,11.43,106,187,465,232,Optimal,Maintain current stock levels
23173,REGENCY TEAPOT ROSES ,2662,357,35.39752487025729,23033.52,9.70313725490196,248,3.61,155,181,143,381,Overstocked,Overstock alert: Pause purchase orders (Excess: 19 units)
82583,HOT BATHS METAL SIGN,11797,837,33.623612253395024,23010.12,2.074575866188769,323,15.99,147,259,650,569,Overstocked,Overstock alert: Pause purchase orders (Excess: 51 units)
71459,HANGING JAM JAR T-LIGHT HOLDER,29255,817,67.28825566415878,22805.99,0.8305875152998776,421,39.64,294,572,1474,181,Critical Risk,"Order 1,474 units immediately"
21930,JUMBO STORAGE BAG SKULLS,12305,1011,22.31802975434515,22795.28,1.9759742828882292,386,16.67,98,215,680,307,Optimal,Maintain current stock levels
22158,3 HEARTS HANGING DECORATION RUSTIC,7982,656,29.69595430532401,22471.86,2.9539024390243904,374,10.82,130,206,448,251,Optimal,Maintain current stock levels
22961,JAM MAKING SET PRINTED,15867,906,35.6102341280073,22328.95,1.4706291390728476,558,21.5,156,307,895,243,Reorder Triggered,Order 895 units immediately
22867,HAND WARMER BIRD DESIGN,11000,938,20.521278547115028,22168.33,2.100426439232409,521,14.91,90,195,624,110,Reorder Triggered,Order 624 units immediately
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4658,386,76.44035530211391,22109.08,4.887694300518135,275,6.31,334,379,266,396,Optimal,Maintain current stock levels
82600,NO SINGING METAL SIGN,11194,976,22.47959936381869,22097.04,2.0697643442622957,375,15.17,99,206,634,490,Overstocked,Overstock alert: Pause purchase orders (Excess: 78 units)
84978,HANGING HEART JAR T-LIGHT HOLDER,19012,1101,22.24095236310712,22079.74,1.2278837420526794,525,25.76,98,279,1072,283,Optimal,Maintain current stock levels
22383,LUNCH BAG SUKI  DESIGN ,13896,1092,21.12061261405592,22026.4,1.6415750915750915,463,18.83,93,225,793,325,Optimal,Maintain current stock levels
21212,PACK OF 72 RETRO SPOT CAKE CASES,45129,1183,69.41815904916363,21838.23,0.5364412510566356,632,61.15,304,733,1830,1354,Optimal,Maintain current stock levels
21231,SWEETHEART CERAMIC TRINKET BOX,18488,1198,21.466688915061223,21793.25,1.2468948247078464,500,25.05,94,270,1049,297,Optimal,Maintain current stock levels
21481,FAWN BLUE HOT WATER BOTTLE,7526,840,23.27768383519409,21779.5,3.1203333333333334,439,10.2,102,174,424,425,Overstocked,Overstock alert: Pause purchase orders (Excess: 77 units)
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7709,1022,14.90385792580638,21682.03,2.9468297455968693,442,10.45,66,140,441,339,Overstocked,Overstock alert: Pause purchase orders (Excess: 59 units)
21212,PACK OF 72 RETROSPOT CAKE CASES,44721,1374,91.0485985086091,21551.8,0.5452838427947598,772,60.6,398,823,1822,703,Reorder Triggered,"Order 1,822 units immediately"
84946,ANTIQUE SILVER TEA GLASS ETCHED,18604,799,34.608778569231475,21540.44,1.227171464330413,413,25.21,152,329,1061,459,Optimal,Maintain current stock levels
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8849,616,59.307806921885486,21490.17,2.7292532467532467,444,11.99,259,343,491,330,Reorder Triggered,Order 491 units immediately
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2999,544,18.344157691525336,21458.42,8.376727941176469,269,4.06,81,110,163,102,Reorder Triggered,Order 163 units immediately
22835,HOT WATER BOTTLE I AM SO POORLY,4638,818,12.105861098840917,21398.28,4.77002444987775,451,6.28,53,97,269,37,Critical Risk,Order 269 units immediately
22728,ALARM CLOCK BAKELIKE PINK,5833,781,29.37508279167948,21369.98,3.777695262483995,357,7.9,129,185,339,304,Optimal,Maintain current stock levels
22087,PAPER BUNTING WHITE LACE,7752,678,15.869599397695362,21336.35,2.891445427728614,314,10.5,70,144,446,203,Optimal,Maintain current stock levels
84406B,CREAM CUPID HEARTS COAT HANGER,6682,728,17.218827293464372,21256.0,3.38114010989011,318,9.05,76,140,383,58,Critical Risk,Order 383 units immediately
20749,ASSORTED COLOUR MINI CASES,2972,729,9.63279784142474,21169.64,7.783772290809328,426,4.03,43,72,169,66,Reorder Triggered,Order 169 units immediately
22607,WOODEN ROUNDERS GARDEN SET ,2406,646,6.933231241090727,20978.47,9.09470588235294,419,3.26,31,54,141,125,Overstocked,Overstock alert: Pause purchase orders (Excess: 17 units)
22113,GREY HEART HOT WATER BOTTLE,5623,942,10.733666246589811,20977.78,3.870615711252654,488,7.62,47,101,329,84,Reorder Triggered,Order 329 units immediately
22556,PLASTERS IN TIN CIRCUS PARADE ,13112,1120,33.02548563445431,20950.16,1.6515714285714285,591,17.77,145,270,768,168,Reorder Triggered,Order 768 units immediately
22090,PAPER BUNTING RETROSPOT,7632,663,17.401325832321355,20933.24,2.9078280542986428,374,10.34,76,149,442,206,Optimal,Maintain current stock levels
23202,JUMBO BAG VINTAGE LEAF,10695,779,24.422950785988,20921.55,2.078562259306804,377,14.49,107,209,618,516,Overstocked,Overstock alert: Pause purchase orders (Excess: 98 units)
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5724,775,11.443809688868855,20838.9,3.8243483870967743,386,7.76,50,105,334,88,Reorder Triggered,Order 334 units immediately
22605,WOODEN CROQUET GARDEN SET,1710,549,8.976425988398079,20813.81,13.36233151183971,377,2.32,40,57,98,102,Optimal,Maintain current stock levels
22090,PAPER BUNTING RETRO SPOTS,7595,615,30.38648543993676,20723.25,2.9139837398373984,367,10.29,133,206,440,407,Optimal,Maintain current stock levels
23203,JUMBO BAG VINTAGE DOILY ,10620,628,34.59579784683932,20641.4,2.061926751592357,363,14.39,152,253,619,209,Reorder Triggered,Order 619 units immediately
21314,SMALL GLASS HEART TRINKET POT,10447,717,40.94774045726854,20588.26,2.086136680613668,369,14.16,179,279,610,531,Optimal,Maintain current stock levels
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5366,664,38.34328564688602,20506.3,3.917018072289157,394,7.27,168,219,319,243,Optimal,Maintain current stock levels
22554,PLASTERS IN TIN WOODLAND ANIMALS,12824,1111,23.062502602298096,20471.68,1.648271827182718,587,17.38,101,223,760,378,Optimal,Maintain current stock levels
22698,PINK REGENCY TEACUP AND SAUCER,7408,751,19.754498102841357,20329.64,2.925139813581891,400,10.04,87,158,434,268,Optimal,Maintain current stock levels
